"","cientifico","TL","DemersPelag","DepthRangeShallow","DepthRangeDeep","Length","BodyShapeI"
"99","Pleuronichthys verticalis","3.1","demersal","9","200","37","short and / or deep"
"100","Porichthys notatus","4","demersal","0","366","38","elongated"
"101","Poromitra crassiceps","3.1","bathypelagic","164","2730","14.8","fusiform / normal"
"102","Psettichthys melanostictus","4.1","demersal","1","325","63","short and / or deep"
"103","Psychrolutes phrictus",NA,NA,NA,NA,NA,NA
"104","Radulinus asprellus","3.4","demersal","18","284","15","elongated"
"105","Rhacochilus toxotes","3.4","demersal","1","50","47","short and / or deep"
"106","Rhinoliparis attenuatus","3.4","bathydemersal","350","2189","11","elongated"
"107","Sagamichthys abei","3.1","bathypelagic","37","1500","33","elongated"
"108","Sardinops sagax","2.84","pelagic-neritic","0","200","39.5","fusiform / normal"
"109","Scomber japonicus","3.38","pelagic-neritic","0","300","64","fusiform / normal"
"110","Scorpaena guttata",NA,NA,NA,NA,NA,NA
"111","Sebastes alutus","3.48","bathydemersal","0","825","53","fusiform / normal"
"112","Sebastes auriculatus","4","demersal","0","128","56","fusiform / normal"
"113","Sebastes aurora","3.7","bathydemersal","124","769","41","elongated"
"114","Sebastes babcocki","3.8","demersal","49","625","64","fusiform / normal"
"115","Sebastes caurinus","4.06","demersal","10","183","58","fusiform / normal"
"116","Sebastes chlorostictus","3.8","demersal","49","201","50","fusiform / normal"
"117","Sebastes constellatus","3.7","reef-associated","24","274","46","fusiform / normal"
"118","Sebastes crameri","3.8","bathydemersal","25","600","58","fusiform / normal"
"119","Sebastes diploproa","3.7","bathydemersal","0","800","46","fusiform / normal"
"120","Sebastes elongatus","3.7","demersal","25","425","39","fusiform / normal"
"121","Sebastes ensifer","3.6","demersal","70","433","30","fusiform / normal"
"122","Sebastes entomelas","3.7","pelagic-neritic","0","549","60","fusiform / normal"
"123","Sebastes eos","3.8","demersal","76","366","56","fusiform / normal"
"124","Sebastes flavidus","4.15","reef-associated","0","549","66","fusiform / normal"
"125","Sebastes goodei","3.5","demersal","0","425","56","fusiform / normal"
"126","Sebastes helvomaculatus","3.7","demersal","25","549","41","fusiform / normal"
"127","Sebastes hopkinsi","3.6","reef-associated","18","183","29","fusiform / normal"
"128","Sebastes jordani","3.2","demersal","0","350","32","elongated"
"129","Sebastes levis","4","bathydemersal","20","500","100","fusiform / normal"
"130","Sebastes melanostomus","3.8","bathydemersal","124","769","61","fusiform / normal"
"131","Sebastes ovalis","3.8","demersal","80","365","56","fusiform / normal"
"132","Sebastes paucispinis","3.5","reef-associated","0","476","91","fusiform / normal"
"133","Sebastes pinniger","3.8","demersal","0","838","76","fusiform / normal"
"134","Sebastes rosaceus","3.7","demersal","15","128","36","fusiform / normal"
"135","Sebastes rosenblatti","3.8","demersal","61","396","48","fusiform / normal"
"136","Sebastes ruberrimus","4.43","reef-associated","15","549","104","fusiform / normal"
"137","Sebastes rubrivinctus","3.8","demersal","0","302","51","fusiform / normal"
"138","Sebastes rufus","3.8","demersal","31","247","54","fusiform / normal"
"139","Sebastes saxicola","3.7","demersal","9","547","38","fusiform / normal"
"140","Sebastes semicinctus","3.6","demersal","58","402","25","fusiform / normal"
"141","Sebastes zacentrus","3.7","bathydemersal","26","476","39","fusiform / normal"
"142","Sebastolobus alascanus","3.62","demersal","17","1600","80","fusiform / normal"
"143","Sebastolobus altivelis","3.3","bathydemersal","201","1757","39","fusiform / normal"
